"","log.AGN.NII.AGN.H_alpha..10.","log.AGN.EW_H_alpha..10."
"37904",-0.383236417712677,1.54524524674823
"75382",-0.534242792635338,1.5594397768277
"44531",-0.43721302715703,0.919444210465237
"66845",-0.423009655612419,1.21924387224532
"43266",0.185501198381668,-0.157390760389438
"99365",-0.458822829916179,1.52061452187824
"73150",-0.552569538211684,1.2989185430051
"18413",0.0219925272869363,0.461948495203762
"105828",0.0636862136003355,-0.0996328713435297
"43984",-0.203952975484944,0.325925955771466
"4165",-0.43844987646713,1.52074547151948
"50259",-0.43482515554282,2.01939880164736
"55030",-0.324395908138732,0.242789809478677
"90796",-0.456060451062935,0.990516444028229
"43229",-0.14682788799888,1.30096484660539
"79513",0.188550899812521,-0.614393726401688
"1591",-0.268141755308703,0.737749073891557
"9213",-0.371165838720912,0.723209310405111
"9280",-0.263383975471894,1.12972210869588
"68488",-0.470279578682193,1.13360277051016
"90692",-0.139935230004517,0.361160995195026
"95236",-0.155813228579807,-0.0385789059335517
"94081",-0.480784245200765,1.24249173501131
"81220",0.268712779457739,-0.216096420727265
"53595",-0.456559813157195,1.13465514227765
"94606",-0.0974881316506033,0.843668722979144
"101880",-0.382938045291531,0.746011107751926
"49210",-0.230110137832297,0.701308885228075
"72216",-0.32809049252618,1.17551181336345
"97836",-0.0655010509181801,1.06400848653172
"96549",-0.616792963412874,1.49901312863877
"91324",-0.344258548527933,0.574725583594073
"15042",-0.488707684070673,1.23398547878021
"43392",-0.480727121038348,1.10174707394637
"47296",-0.419177723930186,0.947923619831726
"80012",-0.455814637514335,1.05188537888987
"92900",-0.111050270501444,0.15896526038341
"15250",-0.351367165516309,0.963315511386111
"62685",-0.0680914055627774,0.290034611362518
"24291",-0.228386654613359,0.672190251188252
"104307",-0.296634418864283,1.14317099320018
"22779",-0.430851638954565,1.31597034545692
"104923",-0.136021008488677,0.718916686014861
"48581",-0.400475691079393,1.4361308294297
"47896",-0.367496457645706,1.25049319184061
"101270",-0.22575386232936,0.653019451099613
"68073",-0.10725454311615,-0.0752040042020878
"71444",-0.425553822099696,1.30375746835381
"95187",0.128361567442156,-0.0705810742857073
"91478",-0.355070611434787,1.26273577966649
"59603",-0.537653659580751,1.22404073862769
"98584",-0.387386563141934,0.784189205380961
"46278",-0.537567372095204,1.5042397209899
"98778",-0.399357368025394,1.60773374009362
"11033",-0.150324947778731,0.696618459232225
"94565",0.0432450592367765,0.216429830876251
"41055",-0.0969563002452431,0.0273496077747565
"43711",-0.660540177881545,1.62836849218203
"241",-0.363130503893931,1.56287549892936
"59381",-0.349802790054245,1.14946545099545
"34713",-0.439886479734573,1.04921802267018
"47304",-0.37354067912897,0.693902741066061
"30126",-0.283097743327007,0.519171463821659
"50399",-0.273707316249972,0.791971201020768
"23800",-0.296497208598345,0.636989101812229
"89455",-0.482277054522069,1.36700163083844
"25940",-0.441675612491902,1.15563963375978
"32183",-0.436762714793737,1.15872425345053
"4968",-0.486035214028461,1.47064565788673
"83015",0.0376656695660255,0.225050696138049
"105877",-0.410319915895154,1.16589690999251
"100055",-0.156100985590366,0.605197267388378
"58030",-0.0479407456298755,-0.136677139879544
"85915",-0.495664021708318,0.983310485794116
"23535",-0.376975803615787,1.82351335303699
"13066",-0.0157764294964698,0.171433900943008
"54873",-0.405792380606606,0.940367045985665
"37536",-0.350389265201234,1.31447817586418
"7569",-0.490666082364156,1.36862154396549
"99635",-0.265079171177973,1.00800367184016
"100005",-0.524426867531753,1.42975228000241
"88086",-0.214066519589098,0.983490971815167
"33261",-0.408686633175373,1.66928898066684
"9839",-0.40502422079998,1.6464135295996
"81410",-0.31526284967122,1.02180927702234
"52838",-0.386841420306074,1.00186346269252
"46765",-0.683701711014841,1.56168561768995
"15583",-0.485095559976136,1.4811415279729
"82422",-0.430384768365116,1.18957452553725
"24919",-0.415022054569534,1.03869962302062
"11374",-0.317554756308168,1.16826171018288
"94310",-0.296666168844161,0.584783378996508
"91939",-0.334189461800251,1.38107896324283
"14548",-0.138141287053234,0.778295991088834
"12392",-0.274900258084941,1.28425021031208
"53030",0.0205431953114528,0.13481437032046
"85787",-0.473238301691428,1.12535112051475
"79995",-0.260092775092178,0.890421018800914
"60167",-0.494544533914564,1.38810120157052
"29950",-0.47146597597778,1.27565680953701
"56594",-0.163529984263662,0.0780941504064107
"45517",-0.280781254818,0.0394141191761371
"94608",-0.160463087077002,0.0330214446829107
"16798",-0.193514367420916,0.304705898212765
"16192",-0.20338976357619,0.62293896921149
"16469",-0.499833123295562,1.417089545271
"61177",-0.616208765010165,1.78730458229135
"61784",-0.60968289469747,1.56400287446935
"40007",-0.217963031980972,0.28397928423848
"41482",-0.104965499295657,1.41133344861257
"7074",0.024472189866329,0.0441476208787228
"18068",-0.206094628412976,1.17617810926733
"102164",-0.203293444817971,0.674309888941477
"10087",0.015632786126437,0.0515383905153274
"93574",-0.44247342913472,0.863322860120456
"23669",-0.492586206611243,1.21133416373255
"18399",-0.494876514534465,1.35293464355942
"72469",-0.472609840378057,1.02460879612656
"58371",-0.264059281837748,1.05411490051059
"24985",-0.00748323998201319,0.8372727025023
"12886",0.056905512241434,0.302547372487486
"39589",0.129161199350066,0.382017042574868
"36011",0.0410922521008407,0.532244643626582
"105218",-0.168579763073317,0.355834495884936
"14478",-0.319757746754743,1.4525683819881
"18773",-0.484892835881562,1.53718922624364
"81597",-0.504847909659094,1.2172996589765
"17289",-0.217693605324139,-0.0204516252959049
"33376",-0.432862163430627,0.959232249050996
"81778",-0.268116345190849,0.496376054012401
"55968",-0.402470602374297,0.977220446635385
"100979",0.0614328392094405,0.122543524068754
"100655",-0.537701238748026,1.11554394803222
"32127",-0.101092708599365,0.288249225571986
"21339",-0.426015001851782,1.42892811489332
"87533",-0.466627464540921,1.10133457322018
"92870",0.127939379696517,0.623766000133931
"95664",-0.468302215899864,1.12894825240933
"60118",-0.400707963072303,1.33775867149342
"103489",0.00438332703614094,-0.164943898279884
"91001",0.23840936166491,-0.137868620686963
"106433",-0.484671970661826,1.1132412324326
